# Goxel 0.10.8
# One line per voxel
# X Y Z RRGGBB
-6 -4 0 ff9000
-4 -4 0 ff9000
-6 -3 0 e52929
-5 -3 0 e52929
-4 -3 0 e52929
-6 -2 0 e52929
-5 -2 0 e52929
-4 -2 0 e52929
-6 -1 0 e52929
-5 -1 0 e52929
-4 -1 0 e52929
-6 -3 1 e52929
-5 -3 1 e52929
-4 -3 1 e52929
-6 -2 1 e52929
-5 -2 1 e52929
-4 -2 1 e52929
-6 -1 1 e52929
-5 -1 1 e52929
-4 -1 1 e52929
-6 -2 2 e52929
-5 -2 2 e52929
-4 -2 2 e52929
-6 -1 2 e52929
-5 -1 2 e52929
-4 -1 2 e52929
-6 -2 3 e52929
-5 -2 3 e52929
-4 -2 3 e52929
-6 -1 3 e52929
-5 -1 3 e52929
-4 -1 3 e52929
-1 -5 4 7f7f7f
-3 -4 4 e52929
-2 -4 4 e52929
-1 -4 4 7f7f7f
-3 -3 4 e52929
-2 -3 4 e52929
-1 -3 4 7f7f7f
-6 -2 4 e52929
-5 -2 4 e52929
-4 -2 4 e52929
-3 -2 4 e52929
-2 -2 4 e52929
-1 -2 4 7f7f7f
-6 -1 4 e52929
-5 -1 4 e52929
-4 -1 4 e52929
-3 -1 4 e52929
-2 -1 4 e52929
-1 -1 4 7f7f7f
-3 -6 5 e52929
-2 -6 5 e52929
-1 -6 5 7f7f7f
-3 -5 5 e52929
-2 -5 5 e52929
-1 -5 5 e52929
-5 -4 5 e52929
-4 -4 5 e52929
-3 -4 5 e52929
-2 -4 5 e52929
-1 -4 5 e52929
-6 -3 5 e52929
-5 -3 5 e52929
-4 -3 5 e52929
-3 -3 5 e52929
-2 -3 5 e52929
-1 -3 5 e52929
-6 -2 5 e52929
-5 -2 5 e52929
-4 -2 5 e52929
-3 -2 5 e52929
-2 -2 5 e52929
-1 -2 5 e52929
-6 -1 5 e52929
-5 -1 5 e52929
-4 -1 5 e52929
-3 -1 5 e52929
-2 -1 5 e52929
-1 -1 5 e52929
-3 -7 6 e52929
-2 -7 6 e52929
-1 -7 6 7f7f7f
-3 -6 6 e52929
-2 -6 6 e52929
-1 -6 6 e52929
-3 -5 6 e52929
-2 -5 6 e52929
-1 -5 6 e52929
-6 -4 6 e52929
-5 -4 6 e52929
-4 -4 6 e52929
-3 -4 6 e52929
-2 -4 6 e52929
-1 -4 6 e52929
-6 -3 6 e52929
-5 -3 6 e52929
-4 -3 6 e52929
-3 -3 6 e52929
-2 -3 6 e52929
-1 -3 6 e52929
-6 -2 6 e52929
-5 -2 6 e52929
-4 -2 6 e52929
-3 -2 6 e52929
-2 -2 6 e52929
-1 -2 6 e52929
-6 -1 6 e52929
-5 -1 6 e52929
-4 -1 6 e52929
-3 -1 6 e52929
-2 -1 6 e52929
-1 -1 6 e52929
-4 -9 7 ff9000
-3 -7 7 e52929
-2 -7 7 e52929
